Bg Bag ID,Mass (g),
223,5.5355,
25,7.0878,
165,3.5025,
222,6.5167,
200,6.0048,
246,5.6076,
126,8.2018,
276,5.7513,
184,1.7851,
271,9.1049,
192,5.8017,
146,5.907,
277,5.2086,
74,4.1619,
38,9.471,
266,6.2691,
205,5.3574,
262,5.9485,
257,6.6725,
168,0.6272,
209,4.3913,
204,6.2702,
274,2.3881,
256,0.4823,
78,5.667,
267,7.0488,
259,3.6408,
103,7.0999,
243,3.3884,
26,1.515,
175,8.4138,
161,7.231,
232,0.7222,
272,3.7252,
263,6.1195,
197,5.0258,
37,8.8655,
234,2.2184,
43,5.4705,
273,6.4676,
22,2.258,
194,8.9056,
216,3.4121,
51,3.1513, Small chance this could be 057 although looks more like 051)
2,6.0816,
104,2.3281,
99,17.2167,HUGE
242,7.5815,
11,7.292,
49,6.679,
228,3.825,
219,8.082,
132,0.622,
35,9.254,
151,3.461,
275,12.645,
127,5.988,
268,4.266,
148,8.188,
233,5.271,
186,6.069,
278,4.081,
178,10.815,
265,6.405,
270,6.158,
231,1.907,
269,7.911,
40,10.682,
240,7.89,
67,6.231,
157,3.073,
111,1.568,
244,12.275,
83,10.152,
279,7.421,
237,5.974,
286,11.897,
118,5.982,
158,7.169,
39,6.355,
179,6.355,x-files music plays
185,4.336,
202,9.231,
235,10.692,
196,8.131,
137,9.242,
264,3.69,
19,5.138,
125,5.49,
258,7.98,
182,5.461,
85,11.782,
31,6.405,
91,10.479,
117,5.732,
177,6.34,
225,4.586,
207,7.299,
164,2.582,
285,3.232,
32,9.051,
59,7.806,
239,8.53,
212,8.579,
241,5.105,
236,2.808,
57,9.755,
155,1.027,
187,0.946,
199,5.922,
56,8.81,
50,7.473,
110,3.511,
180,3.577,
238,4.894,
284,6.218,
116,12.07,
52,6.941,
170,8.364,
229,5.289,
84,9.292,
64,9.58,
280,10.081,
230,8.902,
249,6.806,
193,4.318,
198,7.214,
206,4.309,
253,5.678,
174,4.132,
221,9.604,
86,5.393,
203,6.458,
131,4.267,
88,6.991,
220,3.804,
156,16.148,
254,3.252,
176,9.228,
68,5.172,
282,6.436,
55,3.659,
90,3.808,
73,10.083,
109,1.951,
75,7.464,
215,4.003,
113,5.233,
60,8.137,
283,9.913,
122,4.602,
213,2.761,
190,3.153,
167,5.319,
189,11.009,
76,2.045,
201,5.542,
149,0.358,
107,2.466,
171,13.548,
226,5.166,
183,6.436,
218,10.444,
195,2.367,
188,2.772,
92,5.161,
154,5.873,
129,3.197,
130,0.415,
87,12.929,
191,4.856,
210,5.721,
152,7.895,
63,12.403,
98,7.136,
143,7.497,
65,8.268,
159,6.965,
224,9.337,
58,5.051,
281,2.528,
217,4.749,
82,12.655,
261,7.437,
53,5.83,
136,3.184,
227,11.655,
208,5.555,
34,5.275,
79,1.641,
163,0.639,
80,8.784,
160,8.68,
30,8.919,
13,5.559,
12,8.54,
20,3.741,
44,5.267,
181,3.941,
121,0.96,
173,7.881,
29,8.719,
120,13.622,
105,8.23,
47,3.441,
69,13.276,
214,12.8,
3,1.264,
112,9.211,
145,3.609,
61,9.98,
24,5.942,
248,0.969,
45,5.133,
72,7.986,
46,11.282,
36,9.264,
166,11.381,
250,6.038,
144,7.442,
42,5.672,
70,4.321,
255,4.353,
27,6.562,
14,7.696,
169,14.907,
115,12.06,
150,8.181,
140,3.203,
54,6.522,
119,6.201,
16,6.515,
142,10.08,
97,10.063,
6,3.639,
48,9.116,
5,0.323,
23,5.794,
77,6.62,
135,6.204,
41,6.126,
33,6.695,
10,6.406,
245,4.735,
260,3.843,
62,8.071,
139,10.845,
89,7.546,
71,2.064,
247,3.962,
252,8.519,
96,7.28,
100,0.278,
15,5.972,
93,4.589,
123,5.253,
153,3.316,
18,4.921,
1,2.371,
81,4.148,
21,10.835,
108,7.997,
124,7.562,
251,3.367,
102,0.549,
17,3.834,
8,9.96,
7,11.797,
9,9.252,
211,5.996,
28,6.624,
4,9.417,
138,6.983,
106,2.63,
114,6.303,
141,9.342,
133,4.646,
66,12.086,
134,8.144,
95,3.51,
162,3.232,
172,1.824,
147,5.631,
128,8.056,
94,3.338,
101,3.113,
