Bag ID,Number of Seeds,Mass of Seeds,Average seed mass
275,38,,
255,20,,
261,52,,
259,52,,
260,11,,
229,54,,
193,22,,
192,117,,
283,6,,
213,19,,
212,54,,
215,31,,
225,27,,
218,9,,
222,163,,
221,70,,
197,177,,
195,85,,
287,142,,
101,60,,
123,19,,
277,166,,
103,42,,
272,52,,
191,125,,
111,85,,
155,95,,
247,206,,
118,135,,
125,67,,
153,44,,
126,5,,
152,114,,
105,104,,
196,0,0,
124,17,,
160,68,,
142,22,,
104,67,,
180,220,,
107,88,,
151,45,,
106,107,,
149,15,,
108,29,,
110,138,,
233,133,,
234,12,,
285,86,,
246,80,,
278,69,,
257,47,,
270,72,,
182,119,,
156,24,,
122,61,0.354,
199,41,,
116,259,,
158,73,,
112,113,,
113,110,,
115,37,,
121,163,,
165,94,,
134,76,,
135,54,,
188,98,,
136,30,,
138,129,,
114,107,,
120,154,,
145,0,0,
174,0,0,
206,24,,
240,80,,
226,208,,
238,73,,
189,73,,
248,34,,
249,36,,
245,53,,
217,43,,
256,43,,
262,40,,
139,15,,
201,33,,
203,166,,
235,23,,
202,84,,
198,143,,
200,102,,
204,91,,
250,37,,
251,27,,
244,60,,
239,89,,
169,4,,
205,129,,
284,23,,
211,44,,
84,86,,
271,153,,
252,18,,
223,61,,
254,12,,
268,125,,
209,62,,
175,11,,
185,268,,
208,3,,
147,25,,
66,50,,
170,94,,
148,31,,
73,23,,
88,101,,
67,69,,
70,141,,
154,59,,
102,17,,
178,86,,
97,46,,
99,61,,
137,35,,
179,22,,
176,35,,
150,28,,
98,13,,
100,31,,
207,149,,
227,0,0,
228,62,,
52,68,,
59,109,,
80,0,0,
21,0,0,
58,82,,
57,87,,
230,20,,
253,21,,
210,40,,
216,31,,
214,70,,
267,83,,
237,25,,
273,35,,
219,64,,
282,95,,
224,17,,
220,28,,
281,56,,
163,44,,
173,62,,
183,66,,
181,61,,
96,106,,
241,136,,
269,81,,
274,78,,
263,79,,
243,123,,
242,136,,
232,19,,
231,107,,
72,39,,
74,65,,
75,52,,
89,14,,
87,92,,
86,32,,
177,115,,
85,32,,
93,163,1.073,
92,41,,
90,89,,
172,17,,
71,47,,
91,74,0.568,
24,86,,
82,70,,
5,102,,
20,168,,
41,54,,
46,87,,
7,42,,
9,54,,
76,69,,
77,66,,
78,91,,
79,16,,
48,52,,
81,106,,
49,154,,
18,132,,
61,61,,
13,131,,
187,73,,
50,72,,
62,33,,
26,38,,
34,9,,
184,6,,
12,110,,
144,85,,
63,206,,
146,52,,
29,122,,
28,20,,
47,144,,
31,58,,
16,64,,
23,57,,
54,105,,
53,36,,
186,18,,
19,57,,
8,210,,
39,81,,
38,87,,
33,68,,
30,114,,
3,203,,
44,119,,
42,90,,
32,140,,
43,65,,
37,14,,
68,90,,
69,6,,
64,35,,
65,136,,
190,23,,
236,59,,
27,91,,
194,132,,
83,86,,
36,12,,
166,130,,
17,58,,
14,14,,
15,76,,
60,86,,
40,66,,
56,107,,
35,54,,
55,46,,
6,18,,
22,55,,
4,70,,
2,29,,
45,60,,
1,19,,
10,134,,
11,9,,
95,138,1.062,
51,123,,
94,92,0.861,0.009358696
143,113,,
141,31,,
140,118,,
127,17,,
280,133,,
164,104,,
279,67,,
276,98,,
264,34,,
286,22,,
265,59,,
119,2,0.004,
167,34,,
157,21,,
132,35,,
168,172,,
117,19,,
161,142,,
131,34,,
133,87,,
159,54,,
128,28,,
129,8,,
171,34,,
130,33,,
162,36,,
266,71,,
